InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001781,1107046026339.0,19.36,0.18,129.45576,6.6257100000000015,54055.405360000004,0.0
1001781,1107046026339.0,19.18,0.16,129.45556000000002,6.62617,54066.37846,0.0
1001781,1107046026339.0,19.52,0.2,129.45584,6.626539999999999,54027.463560000004,0.0
1001781,1107046026339.0,19.37,0.2,129.45545,6.626,54039.441889999995,0.0
1001781,1107046026339.0,19.54,0.21,129.45598999999999,6.626239999999999,54039.446789999995,0.0
1001781,1107046026339.0,19.41,0.2,129.45571,6.62631,54439.36596,0.0
1001781,1107046026339.0,19.1,0.17,129.45696,6.626339999999999,54451.41762000001,0.0
1001781,1107046026339.0,19.68,0.22,129.45556000000002,6.62585,54465.42389,0.0
1001781,1107046026339.0,19.84,0.25,129.45557,6.62615,54180.157589999995,0.0
1001781,1107046026339.0,19.82,0.21,129.45539,6.62613,54560.15501,0.0
1001781,1107046026339.0,19.49,0.2,129.45565,6.626119999999999,54801.40151,0.0
1001781,1107046026339.0,19.43,0.19,129.4555,6.6260600000000025,54801.41982999999,0.0
1001781,1107046026339.0,19.52,0.21,129.45583,6.62595,54829.32347999999,0.0
1001781,1107046026339.0,19.62,0.22,129.45568,6.62564,54829.337889999995,0.0
1001781,1107046026339.0,19.68,0.22,129.45583,6.6261399999999995,54503.26124,0.0
1001781,1107046026339.0,19.71,0.23,129.45581,6.626289999999999,54503.2744,0.0
1001781,1107046026339.0,19.93,0.26,129.45518,6.62632,54510.22511,0.0
1001781,1107046026339.0,19.67,0.22,129.45573000000002,6.626,54475.33844,0.0
1001781,1107046026339.0,19.54,0.21,129.45566000000002,6.62617,54475.35646,0.0
1001781,1107046026339.0,19.57,0.21,129.45605,6.626339999999999,54495.2987,0.0
1001781,1107046026339.0,19.87,0.25,129.45533999999998,6.6261399999999995,54529.2155,0.0
1001781,1107046026339.0,19.41,0.2,129.45578999999998,6.62638,54537.16707,0.0
1001781,1107046026339.0,19.91,0.25,129.45602,6.6264899999999995,54537.17989,0.0
1001781,1107046026339.0,19.72,0.24,129.45571,6.62625,54588.148629999996,0.0
1001781,1107046026339.0,19.1,0.18,129.45559,6.62591,54944.15739,0.0
1001781,1107046026339.0,18.95,0.16,129.45568,6.6253899999999994,54944.17912000001,0.0
1001781,1107046026339.0,19.18,0.18,129.45542,6.62626,55176.39436000001,0.0
1001781,1107046026339.0,19.88,0.25,129.45535,6.6257399999999995,55176.39976,0.0
1001781,1107046026339.0,19.61,0.24,129.45564,6.62588,54875.24411,0.0
1001781,1107046026339.0,19.95,0.26,129.45558,6.62637,54849.27311,0.0
1001781,1107046026339.0,18.96,0.16,129.45561999999998,6.625719999999999,54919.194879999995,0.0
1001781,1107046026339.0,19.43,0.2,129.45566000000002,6.62569,54919.20445,0.0
1001781,1107046026339.0,19.1,0.17,129.45492,6.6258300000000006,54919.20927000001,0.0
1001781,1107046026339.0,18.77,0.15,129.45556000000002,6.62581,55151.445139999996,0.0
1001781,1107046026339.0,19.64,0.22,129.45537,6.625960000000001,55151.468629999996,0.0
1001781,1107046026339.0,19.5,0.24,129.45574,6.625489999999999,55203.2913,0.0
1001781,1107046026339.0,19.94,0.26,129.45605,6.6254,55211.34342999999,0.0
1001781,1107046026339.0,19.42,0.2,129.45574,6.6262,55270.18464,0.0
1001781,1107046026339.0,19.73,0.23,129.45524,6.62581,55270.1903,0.0
1001781,1107046026339.0,19.71,0.23,129.45557,6.62586,55270.20166,0.0
1001781,1107046026339.0,18.93,0.16,129.45561999999998,6.62563,55321.1406,0.0
1001781,1107046026339.0,20.11,0.29,129.45547,6.626,55516.44869,0.0
1001781,1107046026339.0,20.07,0.24,129.45588,6.62599,55596.232339999995,0.0
1001781,1107046026339.0,19.83,0.21,129.4557,6.625939999999999,55596.24346000001,0.0
1001781,1107046026339.0,19.48,0.18,129.45549,6.62625,55596.25457999999,0.0
1001781,1107046026339.0,19.03,0.15,129.45553999999998,6.6257399999999995,55596.26567000001,0.0
1001781,1107046026339.0,20.07,0.24,129.4557,6.62595,55603.23776,0.0
1001781,1107046026339.0,19.69,0.23,129.4556,6.62639,55617.213110000004,0.0
1001781,1107046026339.0,19.92,0.26,129.4557,6.6260600000000025,55617.2371,0.0
1001781,1107046026339.0,19.38,0.21,129.45574,6.6257600000000005,55577.3175,0.0
1001781,1107046026339.0,20.08,0.25,129.45559,6.62599,55624.20387000001,0.0
1001781,1107046026339.0,19.52,0.19,129.45631,6.626339999999999,55649.20977,0.0
1001781,1107046026339.0,19.9,0.25,129.4557,6.6257600000000005,55895.45205,0.0
1001781,1107046026339.0,19.35,0.2,129.45571,6.62627,55923.32556000001,0.0
1001781,1107046026339.0,19.78,0.24,129.45581,6.62595,55983.21626,0.0
1001781,1107046026339.0,19.03,0.17,129.45619,6.62622,55983.233089999994,0.0
1001781,1107046026339.0,20.38,0.34,129.45567,6.6261399999999995,56015.17993,0.0
1001781,1107046026339.0,18.84,0.16,129.4553,6.62553,56062.16002999999,0.0
1001781,1107046026339.0,19.35,0.2,129.4554,6.626119999999999,56295.367229999996,0.0
1001781,1107046026339.0,19.94,0.26,129.4561,6.626239999999999,56309.283279999996,0.0
1001781,1107046026339.0,18.89,0.16,129.4561,6.62639,56309.288420000004,0.0
1001781,1107046026339.0,20.06,0.29,129.45521000000002,6.62631,56330.29824,0.0
1001781,1107046026339.0,19.33,0.19,129.45541,6.62598,56339.20966,0.0
1001781,1107046026339.0,19.78,0.24,129.45561,6.626010000000001,56339.21608,0.0
1001781,1107046026339.0,19.3,0.19,129.45557,6.625939999999999,56358.179529999994,0.0
1001781,1107046026339.0,19.19,0.18,129.45538,6.62603,56358.1868,0.0
1001781,1107046026339.0,19.43,0.21,129.45578999999998,6.62626,56358.194110000004,0.0
1001781,1107046026339.0,19.53,0.21,129.45594,6.6266,55947.251379999994,0.0
1001781,1107046026339.0,19.25,0.19,129.45600000000002,6.62599,55947.26285,0.0
1001781,1107046026339.0,19.14,0.18,129.45586,6.6264600000000025,56568.50746,0.0
1001781,1107046026551.0,20.81,0.43,129.47247,6.63846,53726.37516,0.0
1001781,1107046026551.0,20.4,0.34,129.4732,6.63916,53680.49046,0.0
1001781,1107046026551.0,20.28,0.33,129.47297,6.63846,53818.1615,0.0
1001781,1107046026551.0,20.5,0.35,129.47288999999998,6.63888,54439.36596,0.0
1001781,1107046026551.0,21.17,0.5,129.47304,6.63852,54439.38566,0.0
1001781,1107046026551.0,20.61,0.36,129.47243999999998,6.63865,54829.330760000004,0.0
1001781,1107046026551.0,21.25,0.52,129.47298,6.63888,54503.26781000001,0.0
1001781,1107046026551.0,20.41,0.33,129.4729,6.63863,54495.2987,0.0
1001781,1107046026551.0,20.27,0.31,129.47287,6.63882,54537.17989,0.0
1001781,1107046026551.0,18.55,0.19,129.47285,6.63904,54792.463729999996,0.0
1001781,1107046026551.0,20.02,0.27,129.47269,6.638139999999999,55176.39976,0.0
1001781,1107046026551.0,21.17,0.5,129.47253999999998,6.63845,55176.40527,0.0
1001781,1107046026551.0,20.82,0.41,129.47236,6.6392,54849.27311,0.0
