InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001821,1112047048324.0,20.18,0.29,131.57873999999998,13.360970000000002,53466.19894,0.0
1001821,1112047048324.0,19.53,0.21,131.57861,13.36104,53466.20644,0.0
1001821,1112047048324.0,20.02,0.27,131.57876000000002,13.36126,53466.21398,0.0
1001821,1112047048324.0,19.46,0.2,131.57885,13.360870000000002,53466.2216,0.0
1001821,1112047048324.0,19.3,0.19,131.57894,13.36111,53726.35075,0.0
1001821,1112047048324.0,19.53,0.22,131.57846,13.361020000000002,53726.35766,0.0
1001821,1112047048324.0,20.43,0.35,131.57862,13.36147,53726.36457000001,0.0
1001821,1112047048324.0,19.93,0.27,131.57805,13.36116,53726.3715,0.0
1001821,1112047048324.0,20.05,0.36,131.57903000000002,13.36109,53500.13562,0.0
1001821,1112047048324.0,19.93,0.27,131.57872,13.36135,53700.46089,0.0
1001821,1112047048324.0,20.01,0.3,131.57888,13.36113,53655.47771,0.0
1001821,1112047048324.0,19.59,0.24,131.57877,13.3612,53655.48267,0.0
1001821,1112047048324.0,20.0,0.3,131.57913,13.360729999999998,53655.4875,0.0
1001821,1112047048324.0,19.61,0.23,131.57875,13.3612,53670.46517,0.0
1001821,1112047048324.0,19.35,0.2,131.5785,13.3613,53670.47003,0.0
1001821,1112047048324.0,20.19,0.31,131.57873999999998,13.36129,53670.47492,0.0
1001821,1112047048324.0,20.01,0.29,131.57858000000002,13.36096,53843.15061,0.0
1001821,1112047048324.0,20.01,0.29,131.57905,13.36071,53843.15592000001,0.0
1001821,1112047048324.0,19.62,0.23,131.57867,13.36089,53843.16123,0.0
1001821,1112047048324.0,19.55,0.21,131.57856999999998,13.36098,54081.42992,0.0
1001821,1112047048324.0,20.43,0.34,131.57873,13.36119,54081.44319,0.0
1001821,1112047048324.0,19.61,0.22,131.57883,13.361020000000002,54081.44975,0.0
1001821,1112047048324.0,19.96,0.26,131.57886000000002,13.3611,54093.38427,0.0
1001821,1112047048324.0,19.78,0.23,131.57899,13.36101,54093.392470000006,0.0
1001821,1112047048324.0,20.21,0.29,131.57867,13.36136,54093.4007,0.0
1001821,1112047048324.0,21.11,0.48,131.57902,13.36114,54093.40896,0.0
1001821,1112047048324.0,19.81,0.25,131.57867,13.36124,53788.18932000001,0.0
1001821,1112047048324.0,19.71,0.24,131.57854,13.36139,53788.19815,0.0
1001821,1112047048324.0,20.06,0.29,131.5786,13.36128,53788.207,0.0
1001821,1112047048324.0,20.12,0.3,131.57876000000002,13.36075,53788.21581,0.0
1001821,1112047048324.0,20.72,0.43,131.57928,13.36131,53744.39148,0.0
1001821,1112047048324.0,19.79,0.25,131.57901,13.360970000000002,53754.23251,0.0
1001821,1112047048324.0,19.75,0.24,131.57926,13.36099,53754.23912000001,0.0
1001821,1112047048324.0,18.89,0.16,131.57872,13.36122,53754.245720000006,0.0
1001821,1112047048324.0,20.29,0.32,131.57891,13.36137,53754.25231,0.0
1001821,1112047048324.0,19.6,0.25,131.57912,13.36111,53765.23892999999,0.0
1001821,1112047048324.0,19.87,0.28,131.57855,13.36129,53765.24649,0.0
1001821,1112047048324.0,19.61,0.24,131.57845,13.36133,53765.25411,0.0
1001821,1112047048324.0,19.75,0.25,131.57899,13.360970000000002,53765.26174,0.0
1001821,1112047048324.0,20.24,0.32,131.57895,13.36126,53799.18252,0.0
1001821,1112047048324.0,19.99,0.28,131.5786,13.36122,53799.18855,0.0
1001821,1112047048324.0,19.82,0.25,131.57871,13.36129,53799.19469,0.0
1001821,1112047048324.0,20.64,0.4,131.57915,13.3611,53799.20076,0.0
1001821,1112047048324.0,20.2,0.29,131.57855,13.3609,54041.48549,0.0
1001821,1112047048324.0,19.89,0.25,131.57861,13.36109,54041.49087,0.0
1001821,1112047048324.0,19.85,0.24,131.5788,13.36062,54041.49626,0.0
1001821,1112047048324.0,19.46,0.2,131.57854,13.361070000000002,54041.50166,0.0
1001821,1112047048324.0,20.17,0.29,131.57837,13.36131,54027.43689,0.0
1001821,1112047048324.0,19.93,0.25,131.57918,13.36123,54027.44617,0.0
1001821,1112047048324.0,19.31,0.19,131.57895,13.36085,54027.45537999999,0.0
1001821,1112047048324.0,20.27,0.3,131.5787,13.36131,54027.46462000001,0.0
1001821,1112047048324.0,19.15,0.18,131.57918999999998,13.36049,54201.1315,0.0
1001821,1112047048324.0,19.39,0.2,131.57833,13.361020000000002,54201.14068,0.0
1001821,1112047048324.0,19.73,0.24,131.57838,13.36103,54201.1499,0.0
1001821,1112047048324.0,19.77,0.24,131.57911,13.36114,54201.15908,0.0
1001821,1112047048324.0,19.81,0.24,131.57841000000002,13.3609,54437.42453,0.0
